id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10219106,10 De Dam Bridal preparation venue and cottage,52510306,Michelle,,Ward 105,-33.81069,18.66208,Entire home/apt,2638,1,0,,,1,329
10222903,"Elements Lodge, private en-suite room",52527425,Elements Lodge,,Ward 113,-33.83779,18.49892,Private room,478,2,0,,,3,305
10223432,Camps Bay Luxury Villa,20166504,Morne,,Ward 54,-33.95694,18.37974,Entire home/apt,4122,3,126,2019-12-05,2.60,3,279
10230888,"Cape Royale, Green Point, Cape Town",19675508,Jennifer,,Ward 115,-33.91004,18.41225,Entire home/apt,3405,7,0,,,15,358
10234012,Friends sans Benefits,12306351,Nawahl,,Ward 55,-33.91168,18.47889,Private room,253,3,26,2019-12-23,0.61,3,333
10235477,Fish Hoek Sea View Self Catering ECHO BEACH,28746681,Kevin & Ilana,,Ward 64,-34.1476,18.43674,Entire home/apt,954,2,36,2019-03-14,0.76,1,27
10237022,Saltriver/Woodstock appartment,28407620,Erika,,Ward 57,-33.93456,18.46077,Entire home/apt,675,2,8,2018-01-02,0.22,1,0
10237069,Holiday home to let,52614672,Shera,,Ward 113,-33.83495,18.49949,Entire home/apt,2096,8,0,,,1,364
10240064,"Elements Lodge, private en-suite room",52527425,Elements Lodge,,Ward 113,-33.8362,18.50019,Private room,549,2,0,,,3,363
10240125,Luxurious Living in the Heart of Greenpoint,49417072,Taryn-Lee,,Ward 115,-33.90925,18.41281,Entire home/apt,2195,1,167,2019-12-25,3.51,4,229
10240177,Walk to the Beach from a Tranquil House Immersed in Nature,52629162,Anne,,Ward 61,-34.13439,18.34287,Entire home/apt,1670,3,35,2019-11-17,0.74,1,266
10240581,Lagoon Beach Cape Town,52632625,Grant,,Ward 55,-33.89275,18.48147,Entire home/apt,1548,1,1,2017-02-10,0.03,1,0
10242184,Surf Yoga Beach Home opposite beach,52518208,Johann,,Ward 64,-34.10739,18.47273,Entire home/apt,985,3,0,,,1,0
10242686,"Elements Lodge,  private apartment in guesthouse",52527425,Elements Lodge,,Ward 113,-33.83799,18.49883,Private room,575,2,1,2019-04-22,0.12,3,287
10244678,Smitswinkelbay rustic beach house,52656221,Warren,,Ward 61,-34.26446,18.46608,Entire home/apt,2006,2,2,2019-12-23,2,2,352
10245409,"Central, Convenient, Beautiful Apt.",52659658,Adrian,,Ward 59,-33.97711,18.46389,Private room,605,1,0,,,1,0
10251307,"Tilla's Place, home away from home.",52693524,Patricia,,Ward 49,-33.9728,18.50699,Entire home/apt,954,2,18,2019-11-30,0.60,1,138
10256010,Modern Blouberg Apartment (sleeps 4) - near beach,8410637,Judelle,,Ward 23,-33.79115,18.46196,Entire home/apt,1978,7,0,,,7,196
10256442,Trendy & Panoramic Lock-up and Go,2404386,ShortLet.CapeTown,,Ward 115,-33.91767,18.4229,Entire home/apt,746,2,82,2019-12-24,1.77,6,304
10256854,"Suburban Flatlet, Southern Suburbs",52732246,Emma,,Ward 73,-34.0418,18.46353,Private room,605,1,0,,,1,0
10256962,Chic & Modern De Waterkant Apartment,2404386,ShortLet.CapeTown,,Ward 115,-33.91554,18.41996,Entire home/apt,1080,2,79,2019-11-26,1.72,6,1
10257040,"Beachfront 2-Bedroom Luxury Sea Point, Epic Views",15841033,Brian,,Ward 54,-33.91872,18.38449,Entire home/apt,1970,5,3,2017-12-24,0.08,2,151
10257135,Roomy & Trendy Apartment,2404386,ShortLet.CapeTown,,Ward 115,-33.91849,18.42297,Entire home/apt,718,3,88,2019-12-16,1.92,6,340
10259241,"Spectacular Table Mountain Views, Space in Heart of City",49190523,Jaco & Charl,,Ward 77,-33.92583,18.40535,Entire home/apt,3940,2,169,2019-10-22,3.56,3,225
10259316,Auer Haus at the Seaside,52743928,Heather,,Ward 61,-34.15902,18.42798,Entire home/apt,702,2,11,2019-05-11,0.70,1,56
10260891,Grandiflora Hibiscus Apartment in Camps Bay,52753469,Ida,,Ward 54,-33.96808,18.38109,Entire home/apt,1956,2,31,2019-12-15,0.65,1,290
10262180,The Garden Cottage Durbanville,52762826,Annemarie,,Ward 105,-33.82079,18.66136,Entire home/apt,702,1,9,2018-06-24,0.24,1,180
10263375,"Icon 913, sleeps 3, A/C, Working Pool, FREE WIFI",35641063,Rose,,Ward 115,-33.91767,18.42416,Entire home/apt,1463,3,4,2019-06-01,0.08,10,307
10267978,Beautiful sunlit room in Obs,15234945,Katie,,Ward 57,-33.93653,18.46742,Private room,421,2,67,2019-12-05,1.40,1,197
10274557,Atlantic Palms - Ocean View Luxury Apartment,30330837,Val,,Ward 4,-33.85527,18.49108,Entire home/apt,3996,1,0,,,6,101
10274625,"High Places, Spacious Apartment Cape Town",52838568,Jani,,Ward 77,-33.9317,18.39886,Entire home/apt,2195,3,9,2018-12-19,0.19,1,361
10274663,"Blouberg, West Beach SINGLE ROOM",52838738,Jenny,,Ward 23,-33.79503,18.47724,Private room,168,1,24,2018-09-29,0.56,1,331
10274732,OttawaPalms VILLA with housekeeping,51549326,Christine,,Ward 54,-33.96267,18.37825,Entire home/apt,2504,2,55,2019-12-21,1.51,1,59
10276415,Beach holiday and beautiful seaview,52841932,Tina,,Ward 61,-34.14296,18.33101,Entire home/apt,1998,3,0,,,1,0
10277392,Verona Studio Apartment,1191452,Frank & Maria,,Ward 115,-33.9111,18.40427,Entire home/apt,703,5,3,2017-04-04,0.08,4,241
10277535,Private room with pool,52854431,Lucas,,Ward 105,-33.82077,18.66373,Private room,673,1,0,,,1,361
10284731,Woodstock Luxury Home,52420244,Redah,,Ward 115,-33.9315,18.44935,Entire home/apt,884,3,64,2019-12-07,1.38,4,79
10285044,"Breathtaking Ocean views, Nature surrounds",52904249,Lesley,,Ward 64,-34.14987,18.43794,Entire home/apt,1361,2,40,2019-12-12,0.85,1,338
10286263,"Views, sunshine and convenience!",23998072,Jenny,,Ward 74,-34.04054,18.35323,Entire home/apt,2006,4,13,2019-04-03,0.28,1,226
10287789,Designer Loft 'Basil' with own lush terrace,8613231,Pia,,Ward 23,-33.80397,18.46789,Entire home/apt,1449,4,1,2017-01-31,0.03,3,82
10289244,3 Bedroom house with pool.,52929524,Claire,,Ward 61,-34.15099,18.42643,Entire home/apt,1604,1,0,,,1,0
10289246,Quirky and Fun Two Bedroom Home,28180182,Samantha,,Ward 77,-33.935,18.43003,Entire home/apt,2533,3,0,,,1,0
10289743,Vrede Self Catering,41735942,Vrede,,Ward 84,-34.09216,18.87771,Entire home/apt,856,1,0,,,1,245
10299627,La Sal - Mooney,52237491,Thea,,Ward 64,-34.13442,18.42392,Private room,631,1,39,2019-04-08,0.94,2,361
10302598,LIVING IN CAMPS BAY THE CHEVIOTS APARTMENT,36188442,Rory & Barbara,,Ward 54,-33.94856,18.38341,Entire home/apt,1052,2,19,2018-01-03,0.39,7,345
10302774,2 x 6 sleeper self catering unit/apartment /flat,53009990,Cecil,,Ward 60,-33.99101,18.50468,Entire home/apt,2006,1,1,2017-01-01,0.03,44,365
10303644,Beautiful family home with pool,12528264,Barbara,,Ward 84,-34.07376,18.87977,Private room,351,1,10,2019-09-07,0.21,1,329
10303815,Constantia family home - safe secure and private,53015136,David,,Ward 62,-34.01634,18.44137,Entire home/apt,2497,5,12,2019-04-19,0.26,1,315
10305157,Penthouse with Magnificent Views,53021714,Craig & Lisa,,Ward 54,-33.96504,18.38114,Entire home/apt,5937,6,2,2018-01-06,0.06,1,53
10308609,Beautiful ocean-side living!,53040613,Melanie,,Ward 64,-34.11823,18.45839,Entire home/apt,549,1,1,2018-11-11,0.07,1,0
10309001,Hout Bay Holiday Cottage,20356787,B301,,Ward 74,-34.03666,18.345,Entire home/apt,449,1,4,2016-02-17,0.08,2,0
10309404,"Close 2 transport, shops and beach",53043720,Johanna,,Ward 64,-34.13368,18.43179,Entire home/apt,673,1,15,2018-06-18,0.41,1,331
10317566,Refined Modern Staffed Villa in Llandudno,24743623,Katie,,Ward 74,-34.00749,18.34726,Entire home/apt,24003,7,2,2017-12-13,0.06,3,365
10321352,Gorgeous garden flat in Muizenberg,1010518,Nikki,,Ward 64,-34.09938,18.47965,Entire home/apt,407,3,22,2019-09-27,0.47,1,292
10321482,Double storey apartment with aircon & safe parking,50841411,Mignon,,Ward 103,-33.83806,18.70068,Entire home/apt,645,2,56,2019-10-14,1.51,1,347
10322398,LUXURY HOUSE WITH POOL  NEAR BEACH,53111219,Jocelyn,,Ward 54,-33.92396,18.38065,Entire home/apt,5755,14,0,,,1,0
10322460,Apartment Newlands with private patio - sleeps 2,8410637,Judelle,,Ward 59,-33.96709,18.46977,Entire home/apt,1013,2,0,,,7,350
10323505,185 on Beach Deluxe Seaside Suite,50465422,Jeanette,,Ward 100,-34.16582,18.85757,Entire home/apt,1656,1,1,2018-11-24,0.07,5,266
10323707,Fully Furnished 1 Bedroom,49929569,Barry,,Ward 77,-33.93577,18.41541,Entire home/apt,633,2,2,2016-04-01,0.04,1,331
10326009,907 Elegance in Cape Town with Mountain View,17540241,Madelaine,,Ward 115,-33.92592,18.42504,Entire home/apt,1365,2,121,2019-12-15,2.56,1,28
10331014,Forty Wings Bed & Breakfast,52787977,Charles,,Ward 1,-33.85863,18.56189,Private room,645,2,0,,,1,365
10331572,Beautiful spacious family home,53166318,Lesley,,Ward 53,-33.93848,18.51537,Entire home/apt,2504,7,3,2017-12-23,0.07,1,0
10334294,Seaview 10 Monte Carlo Camps Bay,46724440,Jamie,,Ward 54,-33.95726,18.38169,Entire home/apt,3208,3,23,2019-09-08,0.51,1,254
10336717,Taste true SA hospitality,6241406,Beatrix,,Ward 70,-33.86882,18.61554,Private room,631,1,0,,,1,365
10336854,PRIVATE GARDEN COTTAGE pool wifi kitchen laundry,53195053,Aletta,,Ward 57,-33.93602,18.4539,Entire home/apt,422,3,45,2019-11-02,1.06,2,0
10345717,05DB-Studio on sea front with views,3886732,Koos,,Ward 115,-33.90423,18.3983,Entire home/apt,954,2,14,2019-11-19,0.39,61,327
10346070,Unique artist family home with mountain view,53249729,Micha,,Ward 115,-33.93241,18.41667,Private room,352,1,30,2019-11-26,2.20,2,266
10348726,Ideal for exchange students,48997982,Antonie,,Ward 58,-33.9862,18.48135,Private room,211,3,44,2019-12-12,0.92,2,287
10355049,My Welgemoed flat,53294520,5,,Ward 70,-33.86773,18.61994,Entire home/apt,605,2,15,2018-04-01,0.32,1,0
10356529,Panoramic Views & Fynbos Garden at Eco-estate Villa,13683972,Janet,,Ward 61,-34.13126,18.33974,Entire home/apt,2006,3,16,2019-12-10,0.35,1,149
10356957,1 Bed/1 Bath in Rockwell Hotel,53304669,Nic,,Ward 115,-33.91611,18.41961,Entire home/apt,746,3,42,2018-03-26,0.89,1,0
10358299,Sea View Beachfront Apartment,5396320,David,,Ward 54,-33.92003,18.38173,Entire home/apt,577,3,0,,,1,0
10362418,Modern Ideally located Apartment.,44746322,Nicholas,,Ward 115,-33.90779,18.41247,Entire home/apt,1083,5,37,2018-04-23,0.80,1,3
10370371,Sunny room with sea view,8797823,Kirst,,Ward 54,-33.91137,18.39188,Private room,549,2,47,2019-11-08,1.04,2,0
10370491,"Cape Town, Waterfront - sea-facing with garden.",9496372,Leigh,,Ward 115,-33.90085,18.40127,Entire home/apt,589,4,34,2019-12-08,0.79,9,189
10371332,Modern and convenient accomadation,53386038,Malika,,Ward 46,-33.97782,18.53075,Private room,802,1,0,,,1,0
10371825,"One bed, sharing with two others",53282369,Gemma,,Ward 59,-33.99784,18.47197,Private room,197,1,1,2016-01-31,0.02,1,0
10373460,"Comfortable, safe home",53380294,Jennifer,,Ward 107,-33.81306,18.49757,Entire home/apt,900,1,0,,,1,0
10376045,Garden Oasis in the Links,53409851,Etienne,,Ward 4,-33.87106,18.49027,Private room,673,2,26,2019-11-27,1.08,1,331
10377262,"Stunning bedroom, central apt, spectacular views",23564914,Aisling,,Ward 115,-33.93222,18.41302,Private room,281,2,27,2019-09-01,0.58,1,0
10377744,A Plus Listing Not to Be Missed,53419956,Janina,,Ward 62,-34.00362,18.42838,Private room,702,1,146,2019-11-30,3.10,16,109
10378637,Large 1 Bedroom apartment in Green Point with view,3886732,Koos,,Ward 115,-33.91194,18.40952,Entire home/apt,1252,2,4,2019-11-07,0.11,61,323
10380125,"Long stays best,WiFi,own entrance bedroombathroom",28684648,Doryce,,Ward 54,-33.91968,18.3944,Private room,352,7,13,2019-09-30,0.29,2,204
10380552,Enjoy The Best of Sea Point,52154662,Dylan,,Ward 54,-33.91059,18.3912,Entire home/apt,1745,2,1,2017-12-26,0.04,1,0
10386925,Contemporary Woodstock cottage,22160879,Mark,,Ward 115,-33.92984,18.45251,Private room,351,2,53,2019-11-17,1.11,2,40
10388366,Cape Constantia - what a view!,617766,Jane,,Ward 62,-34.00614,18.43144,Entire home/apt,703,3,17,2019-11-04,0.46,2,274
10390086,House Cherry  on  beach Amazing Suite 3 Sleeps 2,4020635,Yvette,,Ward 74,-34.04673,18.36332,Entire home/apt,996,2,18,2019-12-24,0.50,4,1
10394663,"Muizenberg, Self Catering Apartment",53405817,Andre,,Ward 64,-34.10037,18.48213,Entire home/apt,633,2,3,2017-11-07,0.07,1,0
10394716,Ruallen: Edwardian seaside cottage,53520076,Miriam,,Ward 64,-34.11657,18.45745,Entire home/apt,1501,2,37,2019-12-16,0.79,1,311
10395504,32 Quarterdeck Road (C),13945972,Lynne,,Ward 71,-34.12305,18.45063,Entire home/apt,1599,3,49,2019-12-10,1.07,3,286
10395773,Beautiful villa with sea view close to the beach,53257929,Paulina,,Ward 54,-33.94665,18.37958,Entire home/apt,18994,3,21,2019-12-11,0.56,5,29
10396159,"Stylish Villa, Rooftop Terrace",46611346,Zak,,Ward 115,-33.91646,18.41741,Entire home/apt,1154,1,0,,,1,0
10396621,"Convenient, modern, self catering apartment.",47679628,Grant And Jan,,Ward 59,-33.98698,18.46989,Entire home/apt,856,3,50,2019-12-09,1.07,1,0
10396731,Gorgeous home with mountain view,53530568,Jane,,Ward 59,-33.97755,18.45016,Entire home/apt,4094,3,18,2019-10-18,0.39,2,291
10396874,Harbour House,53531439,Ros,,Ward 61,-34.19308,18.4314,Entire home/apt,996,3,6,2018-11-09,0.13,1,363
10397685,1 Bedroom in Spacious Shared Beach Apartment,9273784,Emma,,Ward 54,-33.92148,18.38184,Private room,605,3,1,2019-02-14,0.09,2,0
10397705,Seaside Village G22,59318,Linda,,Ward 23,-33.78956,18.45625,Entire home/apt,2806,7,1,2017-01-05,0.03,4,315
10398537,"Rustic, romantic Kommetjie cottage",53539772,Heidi & Philip,,Ward 61,-34.13943,18.33483,Entire home/apt,954,3,41,2019-11-29,0.86,2,274
